"","Scientific_name","Lastest_revision","Code","Class","Order","Family.x","Genus.x","Scientific_name_2024","Common_name","Diet","Strata","IUCN","Note","MSW3_ID","Genus.y","Species","Family.y","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","Full.Reference","scientificNameStd"
"11","Cebus albifrons","30/04/23","CEBYUR","Mammalia","Primata","Cebidae","Cebus","Cebus albifrons","White-fronted capuchin","Herbivore","Arboreal","LC","",606,"Cebus","albifrons","Cebidae",20,0,0,0,10,0,20,10,20,20,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",2629,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Cebus abifrons"
"12","Chironectes minimus","30/04/23","CHIMIN","Mammalia","Didelphimorpha","Didelphidae","Chironectes","Chironectes minimus","Water opossum","Carnivore","Mixed","LC","Possibly not in study because so dependent on river",11,"Chironectes","minimus","Didelphidae",50,0,0,30,0,0,0,0,0,20,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",946,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Chironectes minimus"
"13","Choloepus didactylus","30/04/23","CHODID","Mammalia","Pilosa","Megalonychidae","Choloepus","Choloepus didactylus","Linné's two-toed sloth","Herbivore","Arboreal","LC","",441,"Choloepus","didactylus","Megalonychidae",0,0,0,0,0,0,30,0,0,70,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",5160,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Choloepus didactylus"
"14","Coendou prehensilis","30/04/23","COEPRE","Mammalia","Rodentia","Erethizontidae","Coendou","Coendou prehensilis","Brazilian porcupine","Herbivore","Mixed","LC","What are the differences in morphology between this and the streaked dwarf species? I think if its size then at Tiputini that has to be all I've seen...",3019,"Coendou","prehensilis","Erethizontidae",0,0,0,0,0,0,30,0,0,70,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",4399.97,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Coendou prehensilis"
"15","Cuniculus paca","30/04/23","CUNPAC","Mammalia","Rodentia","Cuniculidae","Cuniculus","Cuniculus paca","Lowland paca","Herbivore","Terrestrial","LC","",3073,"Cuniculus","paca","Cuniculidae",0,0,0,0,0,0,20,0,30,50,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",8172.55,"Ref_58",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Cuniculus paca"
"16","Cyclopes didactylus","30/04/23","CYCDID","Mammalia","Cyclopedidae","Cyclopedidae","Cyclopes","Cyclopes didactylus","Silky anteater","Carnivore","Arboreal","LC","",443,"Cyclopes","didactylus","Cyclopedidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",329.5,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Cyclopes didactylus"
"17","Dasyprocta fuliginosa","30/04/23","DASFUL","Mammalia","Rodentia","Dasyproctidae","Dasyprocta","Dasyprocta fuliginosa","Black agouti","Herbivore","Terrestrial","LC","",3062,"Dasyprocta","fuliginosa","Dasyproctidae",10,0,0,0,0,0,40,0,0,50,"Ref_1","ABC","G","A","",0,1,1,"Ref_1","ABC",3500.02,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Dasyprocta fuliginosa"
"18","Dasypus kappleri","30/04/23","DASKAP","Mammalia","Cingulata","Dasypodidae","Dasypus","Dasypus kappleri","Greater long-nosed armadillo","UNK","Terrestrial","LC","",421,"Dasypus","kappleri","Dasypodidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",9500,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Dasypus kappleri"
"19","Dasypus novemcinctus","30/04/23","DASNOV","Mammalia","Cingulata","Dasypodidae","Dasypus","Dasypus novemcinctus","Nine-banded armadillo","Herbivore","Terrestrial","LC","",420,"Dasypus","novemcinctus","Dasypodidae",100,0,0,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",4203.78,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Dasypus novemcinctus"
"20","Didelphis marsupialis","30/04/23","DIDMAR","Mammalia","Didelphimorpha","Didelphidae","Didelphis","Didelphis marsupialis","Common opossum","Omnivore","Mixed","LC","START HERE",14,"Didelphis","marsupialis","Didelphidae",20,0,0,0,30,30,0,0,0,20,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",1091.16,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Didelphis marsupialis"
"21","Echimys saturnus","30/04/23","ECHSAT","Mammalia","Rodentia","Echimyidae","Echimys","Echimys saturnus","Dark spiny tree-rat","Herbivore","Arboreal","DD","",2943,"Echimys","saturnus","Echimyidae",0,0,0,0,0,0,80,0,0,20,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",626.9,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Echimys saturnus"
"22","Eira barbara","30/04/23","EIRBAR","Mammalia","Carnivora","Procyonidae","Eira","Eira barbara","Tayra","Herbivore","Mixed","LC","",4985,"Eira","barbara","Mustelidae",0,90,0,0,0,0,10,0,0,0,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",3910.03,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Eira barbara"
"23","Glironia venusta","30/04/23","GILVEN","Mammalia","Didelphimorpha","Didelphidae","Glironia","Glironia venusta","Bushy-tailed opossum","Omnivore","Mixed","LC","",10,"Glironia","venusta","Didelphidae",40,0,0,0,20,0,20,0,20,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",114,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Glironia venusta"
"24","Holochilus sciureus","30/04/23","HOLSCI","Mammalia","Rodentia","Cricetidae","Holochilus","Holochilus sciureus","Amazonian marsh rat","Herbivore","Terrestrial","LC","Might not be in TF because it likes marshy habitat nesting in rice and sugarcane marsh mostly",1773,"Holochilus","sciureus","Cricetidae",10,0,0,0,0,0,0,0,0,90,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",170.96,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Holochilus sciureus"
"25","Hydrochoerus hydrochaeris","30/04/23","HYDHYD","Mammalia","Rodentia","Caviidae","Hydrochoerus","Hydrochoerus hydrochaeris","Capybara","Herbivore","Terrestrial","LC","",3055,"Hydrochoerus","hydrochaeris","Caviidae",0,0,0,0,0,0,10,0,0,90,"Ref_1","ABC","G","A","",0,0,1,"Ref_1","ABC",48144.91,"Ref_58",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Hydrochoerus hydrochaeris"
"26","Isothrix bistriata","30/04/23","ISOBIS","Mammalia","Rodentia","Echimyidae","Isothrix","Isothrix bistriata","Yellow-crowned Brush-tailed rat","Herbivore","UNK","LC","",2947,"Isothrix","bistriata","Echimyidae",0,0,0,0,0,0,30,0,20,50,"Ref_3","D2","G","A","",1,0,0,"Ref_1","ABC",445,"Ref_117",1,"Family Average","Isothrix bistriata"
"27","Lagothrix lagotricha","30/04/23","LAGLAG","Mammalia","Primata","Atelidae","Lagothrix","Lagothrix lagothricha","Common woolly monkey","Herbivore","Arboreal","VU","",622,"Lagothrix","lagotricha","Atelidae",10,0,0,0,0,0,70,0,10,10,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",6299.99,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Lagothrix lagothricha"
"28","Leopardus pardalis","30/04/23","LEOPAR","Mammalia","Carnivora","Felidae","Leopardus","Leopardus pardalis","Ocelot","Carnivore","Mixed","LC","",4804,"Leopardus","pardalis","Felidae",0,70,20,10,0,0,0,0,0,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",11900.08,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Leopardus pardalis"
"29","Leopardus tigrinus","30/04/23","LEOTIG","Mammalia","Carnivora","Felidae","Leopardus","Leopardus tigrinus","Oncilla","Carnivore","Mixed","VU","Added by me as was not in the list extracted from SWING et al and the IUCN search",4803,"Leopardus","tigrinus","Felidae",0,100,0,0,0,0,0,0,0,0,"Ref_42","ABC","S","B","",1,1,1,"Ref_2","D1",2250,"Ref_117",1,"Gardner, A. 1971. Notes on the little spotted cat, Felis tigrina oncilla (Thomas) in Costa Rica. Journal of Mammalogy, 52: 464-465","Leopardus tigrinus"
"30","Leopardus wiedii","30/04/23","LEOWIE","Mammalia","Carnivora","Felidae","Leopardus","Leopardus wiedii","Margay","Herbivore","Mixed","NT","",4805,"Leopardus","wiedii","Felidae",0,80,0,0,0,0,20,0,0,0,"Ref_1","ABC","S","A","",1,1,0,"Ref_1","ABC",3249.97,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Leopardus wiedii"
"31","Makalata macrura","30/04/23","MAKMAC","Mammalia","Rodentia","Echimyidae","Makalata","Makalata macrura","Long-tailed armored tree-rat","Herbivore","Arboreal","LC","Slightly outside of range on IUCN, GBIF points also outside the area",2951,"Makalata","macrura","Echimyidae",0,0,0,0,0,0,80,0,0,20,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",439,"Ref_58",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Makalata macrura"
"32","Makalata occasius","30/04/23","PATOCC","Mammalia","Rodentia","Echimyidae","Pattonomys","Pattonomys occasius","Bare-tailed armored tree-rat","Herbivore","Arboreal","DD","IUCN range unknown",2950,"Makalata","occasius","Echimyidae",0,0,0,0,0,0,80,0,0,20,"Ref_2","D1","S","A","",1,0,0,"Ref_1","ABC",322.29,"Ref_2, Ref_3",0,"Genus Average","Makalata occasius"
"33","Marmosa murina","30/04/23","MARMUR","Mammalia","Didelphimorpha","Didelphidae","Marmosa","Marmosa murina","Linnaeus's mouse opossum","Omnivore","Mixed","LC","Previously Marmosa waterhousi but this is now the subspecies classification",30,"Marmosa","murina","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",26,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Marmosa murina"
"34","Marmosa rubra","30/04/23","MARRUB","Mammalia","Didelphimorpha","Didelphidae","Marmosa","Marmosa rubra","Red mouse opossum","Omnivore","Mixed","DD","",33,"Marmosa","rubra","Didelphidae",40,10,10,0,10,0,30,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",63,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Marmosa rubra"
"35","Marmosops noctivagus","30/04/23","MARNOC","Mammalia","Didelphimorpha","Didelphidae","Marmosops","Marmosops noctivagus","White-bellied slender mouse opossum","Omnivore","Mixed","LC","",44,"Marmosops","noctivagus","Didelphidae",50,0,0,0,0,0,50,0,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",21,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Marmosops noctivagus"
"36","Mazama americana","30/04/23","MAZAME","Mammalia","Artiodactyla","Cervidae","Mazama","Mazama americana","Red broket deer","Herbivore","Terrestrial","DD","",5289,"Mazama","americana","Cervidae",0,0,0,0,0,0,0,0,20,80,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",22799.75,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Mazama americana"
"37","Mazama gouazoubira","30/04/23","MAZNEM","Mammalia","Artiodactyla","Cervidae","Mazama","Mazama nemorivaga","Amazonian brown broket deer","Herbivore","Terrestrial","LC","",5293,"Mazama","gouazoubira","Cervidae",0,0,0,0,0,0,30,0,20,50,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",16633.17,"Ref_58",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Mazama gouazoubira"
"38","Mesomys hispidus","30/04/23","MESHIS","Mammalia","Rodentia","Echimyidae","Mesomys","Mesomys hispidus","Ferreira's spiny tree-rat","Herbivore","Arboreal","LC","",2961,"Mesomys","hispidus","Echimyidae",0,0,0,0,0,0,30,0,20,50,"Ref_3","D2","Ar","A","",1,0,0,"Ref_1","ABC",175,"Ref_117",1,"Family Average","Mesomys hispidus"
"39","Micoureus regina","30/04/23","MARREG","Mammalia","Didelphimorpha","Didelphidae","Marmosa","Marmosa regina","Short-furred woolly mouse opossum","Omnivore","Mixed","LC","",55,"Micoureus","regina","Didelphidae",90,0,0,0,0,0,10,0,0,0,"Ref_1","ABC","S","A","",1,0,0,"Ref_1","ABC",118.6,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Micoureus regina"
"40","Microsciurus flaviventer","30/04/23","MICFLA","Mammalia","Rodentia","Sciuridae","Microsciurus","Microsciurus flaviventer","Amazon dwarf squirrel","Herbivore","Mixed","LC","",854,"Microsciurus","flaviventer","Sciuridae",0,0,0,0,0,0,50,0,50,0,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",92,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Microsciurus flaviventer"
"41","Monodelphis adusta","30/04/23","MONADU","Mammalia","Didelphimorpha","Didelphidae","Monodelphis","Monodelphis adusta","Sepia short-tailed opossum","Omnivore","Mixed","LC","",75,"Monodelphis","adusta","Didelphidae",20,20,0,0,0,20,20,0,20,0,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",35,"Ref_117",1,"Nowak R.M. (1999). Walker's mammals of the world. Sixth edition edn. The Johns Hopkins University Press, Baltimore, Maryland","Monodelphis adusta"
