Lastest_revision,Code,Class,Order,Family,Genus,Scientific_name_2024,Scientific_name,Common_name,Diet,Strata,IUCN,Note
01/05/23,LONAUR,Mammalia,Chiroptera,Phyllostomidae,Lonchorhina,Lonchorhina aurita,Lonchorhina aurita,Common Sword-nosed Bat,Herbivore,NA,LC,
01/05/23,CHRAUR,Mammalia,Chiroptera,Phyllostomidae,Chrotopterus,Chrotopterus auritus,Chrotopterus auritus,Woolly FALSEVampire Bat,Herbivore,NA,LC,
01/05/23,GARCRE,Mammalia,Chiroptera,Phyllostomidae,Gardnerycteris,Gardnerycteris crenulatum,Gardnerycteris crenulatum,Striped Hairy-nosed Bat,Herbivore,NA,LC,
01/05/23,LOPBRA,Mammalia,Chiroptera,Phyllostomidae,Lophostoma,Lophostoma brasiliense,Lophostoma brasiliense,Pygmy round-eared bat,Herbivore,NA,LC,
01/05/23,LOPCAR,Mammalia,Chiroptera,Phyllostomidae,Lophostoma,Lophostoma carrikeri,Lophostoma carrikeri,Carriker's Round-eared Bat,Herbivore,NA,LC,"Range does not extend into ecuador on IUCN, potentially one register on GBIF"
01/05/23,LOPSIL,Mammalia,Chiroptera,Phyllostomidae,Lophostoma,Lophostoma silvicolum,Lophostoma silvicolum,White-throated Round-eared Bat,Herbivore,NA,LC,
01/05/23,MACMAC,Mammalia,Chiroptera,Phyllostomidae,Macrophyllum,Macrophyllum macrophyllum,Macrophyllum macrophyllum,Long-legged bat,Herbivore,NA,LC,
01/05/23,PHYSTE,Mammalia,Chiroptera,Phyllostomidae,Phylloderma,Phylloderma stenops,Phylloderma stenops,Pale-faced bat,Herbivore,NA,LC,
01/05/23,PHYELO,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus elongatus,Phyllostomus elongatus,Lesser spear-nosed bat,Herbivore,NA,LC,
01/05/23,PHYHAS,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Phyllostomus hastatus,Greater spear-nosed bat,Herbivore,NA,LC,
01/05/23,TONSAU,Mammalia,Chiroptera,Phyllostomidae,Tonatia,Tonatia saurophila,Tonatia saurophila,Stripe-headed Round-eared Bat,Herbivore,NA,LC,Range potentially in Tiputini
01/05/23,TRACIR,Mammalia,Chiroptera,Phyllostomidae,Trachops,Trachops cirrhosis,Trachops cirrhosis,Fringe-lipped bat,Herbivore,NA,LC,
01/05/23,VAMSPE,Mammalia,Chiroptera,Phyllostomidae,Vampyrum,Vampyrum spectrum,Vampyrum spectrum,Spectral Bat,Herbivore,NA,NT,
01/05/23,GLYDAV,Mammalia,Chiroptera,Phyllostomidae,Glyphonycteris,Glyphonycteris daviesi,Glyphonycteris daviesi,Davies's big-eared bat,Herbivore,NA,LC,
01/05/23,GLYNIC,Mammalia,Chiroptera,NA,Glyphonycteris,Glyphonycteris nicefori,Glyphonycteris nicefori,NA,Herbivore,NA,NA,
01/05/23,CARBRE,Mammalia,Chiroptera,Phyllostomidae,Carollia,Carollia brevicauda,Carollia brevicauda,Silky Short-tailed Bat,Herbivore,NA,LC,
01/05/23,CARCAS,Mammalia,Chiroptera,Phyllostomidae,Carollia,Carollia castanea,Carollia castanea,Chestnut Short-tailed Bat,Herbivore,NA,LC,
01/05/23,CARPER,Mammalia,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Carollia perspicillata,Seba's Short-tailed Bat,Herbivore,NA,LC,
01/05/23,RHIFIS,Mammalia,Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla fischerae,Rhinophylla fischerae,Fischer's Little Fruit Bat,Herbivore,NA,LC,
01/05/23,RHIPUM,Mammalia,Chiroptera,Phyllostomidae,Rhinophylla,Rhinophylla pumilio,Rhinophylla pumilio,Dwarf Little Fruit Bat,Herbivore,NA,LC,
01/05/23,ARTAND,Mammalia,Chiroptera,Phyllostomidae,Artibeus,Artibeus anderseni,Artibeus anderseni,Andersen's Fruit-eating Bat,Herbivore,NA,LC,
01/05/23,ARTCON,Mammalia,Chiroptera,Phyllostomidae,Artibeus,Artibeus concolor,Artibeus concolor,Brown Fruit-eating Bat,Herbivore,NA,LC,Range not in ecuador
01/05/23,ARTGLA,Mammalia,Chiroptera,Phyllostomidae,Artibeus,Artibeus glaucus,Artibeus glaucus,Silver Fruit-eating Bat,Herbivore,NA,LC,
01/05/23,ARTGNO,Mammalia,Chiroptera,Phyllostomidae,Artibeus,Artibeus gnomus,Artibeus gnomus,Dwarf Fruit-eating Bat,Herbivore,NA,LC,
01/05/23,ARTLIT,Mammalia,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,Artibeus lituratus,Great Fruit-eating Bat,Herbivore,NA,LC,
01/05/23,ARTOBS,Mammalia,Chiroptera,Phyllostomidae,Artibeus,Artibeus obscurus,Artibeus obscurus,Dark Fruit-eating Bat,Herbivore,NA,LC,
01/05/23,ARTPLA,Mammalia,Chiroptera,Phyllostomidae,Artibeus,Artibeus planirostris,Artibeus planirostris,Flat-faced Fruit-eating Bat,Herbivore,NA,LC,Range on IUCN barely into ecuador.
01/05/23,CHISAL,Mammalia,Chiroptera,Phyllostomidae,Chiroderma,Chiroderma salvini,Chiroderma salvini,Salvin's Big-eyed Bat,Herbivore,NA,LC,
01/05/23,CHITRI,Mammalia,Chiroptera,Phyllostomidae,Chiroderma,Chiroderma trinitatum,Chiroderma trinitatum,Little Big-eyed Bat,Herbivore,NA,LC,
01/05/23,CHIVIL,Mammalia,Chiroptera,Phyllostomidae,Chiroderma,Chiroderma villosum,Chiroderma villosum,Hairy Big-eyed Bat,Herbivore,NA,LC,
01/05/23,ENCHAR,Mammalia,Chiroptera,Phyllostomidae,Enchisthenes,Enchisthenes hartii,Enchisthenes hartii,Velvety Fruit-eating Bat,Herbivore,NA,LC,Part of eastern ecuador not in range but all of west in. Unsure of tiputini
01/05/23,MESMAC,Mammalia,Chiroptera,Phyllostomidae,Mesophylla,Mesophylla macconnelli,Mesophylla macconnelli,MacConnell's Bat,Herbivore,NA,LC,
01/05/23,PLAANG,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus angustirostris,Platyrrhinus angustirostris,Slender Broad-nosed Bat,Herbivore,NA,LC,"Small portion of range within eastern ecuador, unsure of tiputini"
01/05/23,PLABRA,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus brachycephalus,Platyrrhinus brachycephalus,Short-headed broad-nosed bat,Herbivore,NA,LC,
01/05/23,PLAFUS,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus fusciventris,Platyrrhinus fusciventris,Brown-bellied Broad-nosed Bat,Herbivore,NA,LC,Range potentially in Tiputini. 
01/05/23,PLAINC,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus incarum,Platyrrhinus incarum,Incan Broad-nosed Bat,Herbivore,NA,LC,
01/05/23,PLAINF,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus infuscus,Platyrrhinus infuscus,Buffy Broad-nosed Bat,Herbivore,NA,LC,Range potentially in tiputini
01/05/23,SPHTOX,Mammalia,Chiroptera,Phyllostomidae,Sphaeronycteris,Sphaeronycteris toxophyllum,Sphaeronycteris toxophyllum,Visored Bat,Herbivore,NA,LC,Range potentially in tiputini
01/05/23,STULIL,Mammalia,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Sturnira lilium,Little Yellow-shouldered Bat,Herbivore,NA,LC,Not in range on IUCN. GBIF has records in ecuador
01/05/23,STUMAG,Mammalia,Chiroptera,Phyllostomidae,Sturnira,Sturnira magna,Sturnira magna,Greater yellow-shouldered bat,Herbivore,NA,LC,
01/05/23,STUTIL,Mammalia,Chiroptera,Phyllostomidae,Sturnira,Sturnira tildae,Sturnira tildae,Tilda's Yellow-shouldered Bat,Herbivore,NA,LC,
01/05/23,UROBIL,Mammalia,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Uroderma bilobatum,Common Tent-making Bat,Herbivore,NA,LC,
01/05/23,UROMAG,Mammalia,Chiroptera,Phyllostomidae,Uroderma,Uroderma magnirostrum,Uroderma magnirostrum,Brown tent-making bat,Herbivore,NA,LC,
01/05/23,VAMTHY,Mammalia,Chiroptera,Phyllostomidae,Vampyressa,Vampyressa thyone,Vampyressa thyone,Northern little yellow-eared bat,Herbivore,NA,LC,
01/05/23,VAMBID,Mammalia,Chiroptera,Phyllostomidae,Vampyriscus,Vampyriscus bidens,Vampyriscus bidens,Bidentate Yellow-eared Bat,Herbivore,NA,LC,
01/05/23,VAMCAR,Mammalia,Chiroptera,Phyllostomidae,Vampyrodes,Vampyrodes caraccioli,Vampyrodes caraccioli,Great Stripe-faced Bat,Herbivore,NA,LC,
01/05/23,PTEPAR,Mammalia,Chiroptera,Mormoopidae,Pteronotus,Pteronotus parnellii,Pteronotus parnellii,Common Mustached Bat,Herbivore,NA,LC,Unsure if range in ecuador. IUCN and GBIF show different ranges. 
01/05/23,NOCALB,Mammalia,Chiroptera,Noctilionidae,Noctilio,Noctilio albiventris,Noctilio albiventris,Lesser Bulldog Bat,Herbivore,NA,LC,
01/05/23,NOCLEP,Mammalia,Chiroptera,Noctilionidae,Noctilio,Noctilio leporinus,Noctilio leporinus,Greater Bulldog Bat,Herbivore,NA,LC,
01/05/23,FURHOR,Mammalia,Chiroptera,Furipteridae,Furipterus,Furipterus horrens,Furipterus horrens,Thumbless bat,Herbivore,NA,LC,Potentially in range of Tiputini
01/05/23,THYDIS,Mammalia,Chiroptera,Thyropteridae,Thyroptera,Thyroptera discifera,Thyroptera discifera,Peters's Disk-winged Bat,Herbivore,NA,LC,Unsure if range in Tiputini. Map shows northeastern ecuador in range.
01/05/23,THYLAV,Mammalia,Chiroptera,Thyropteridae,Thyroptera,Thyroptera lavali,Thyroptera lavali,LaVal's Disk-winged Bat,Herbivore,NA,DD,Unsure if range in Tiputini. Small range on IUCN and GBIF.
01/05/23,THYTRI,Mammalia,Chiroptera,Thyropteridae,Thyroptera,Thyroptera tricolor,Thyroptera tricolor,Spix's Disk-winged Bat,Herbivore,NA,LC,
01/05/23,CYNMAS,Mammalia,Chiroptera,Molossidae,Cynomops,Cynomops mastivus,Cynomops mastivus,Thomas's Dog-faced Bat,Herbivore,NA,NA,https://www.catalogueoflife.org/data/taxon/8Q88J
01/05/23,CYNMIL,Mammalia,Chiroptera,Molossidae,Cynomops,Cynomops milleri,Cynomops milleri,NA,Herbivore,NA,LC,Potentially in range of tiputini
01/05/23,EUMMAU,Mammalia,Chiroptera,Molossidae,Eumops,Eumops maurus,Eumops maurus,Guianan bonneted bat,Herbivore,NA,DD,Potentially in range of tiputini
01/05/23,MOLTEM,Mammalia,Chiroptera,Molossidae,Molossops,Molossops temmincki,Molossops temmincki,Dwarf Dog-faced Bat,Herbivore,NA,LC,"Range in very eastern ecuador, possibly tiputini"
01/05/23,MOLBON,Mammalia,Chiroptera,Molossidae,Molossus,Molossus bondae,Molossus bondae,Bonda mastiff bat,Herbivore,NA,LC,IUCN and GBIF range map only in eastern ecuador
01/05/23,MOLCOI,Mammalia,Chiroptera,Molossidae,Molossus,Molossus coibensis,Molossus coibensis,Coiban Mastiff Bat,Herbivore,NA,LC,Range potentially in tiputini. 
01/05/23,MOLMOL,Mammalia,Chiroptera,Molossidae,Molossus,Molossus molossus,Molossus molossus,Velvety free-tailed bat,Herbivore,NA,LC,
01/05/23,MOLRUF,Mammalia,Chiroptera,Molossidae,Molossus,Molossus rufus,Molossus rufus,Black Free-tailed Bat ,Herbivore,NA,LC,
01/05/23,NYCMAC,Mammalia,Chiroptera,Molossidae,Nyctinomops,Nyctinomops macrotis,Nyctinomops macrotis,Big Free-tailed Bat,Herbivore,NA,LC,
01/05/23,PROCEN,Mammalia,Chiroptera,Molossidae,Promops,Promops centralis,Promops centralis,Big Crested Mastiff Bat,Herbivore,NA,LC,
01/05/23,EPTBRA,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus brasiliensis,Eptesicus brasiliensis,Brazilian Brown Bat,Herbivore,NA,LC,
01/05/23,LASBLO,Mammalia,Chiroptera,Vespertilionidae,Lasiurus,Lasiurus blossevillii,Lasiurus blossevillii,Southern Red Bat,Herbivore,NA,LC,
01/05/23,MYOALB,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis albescens,Myotis albescens,Silver-tipped Myotis,Herbivore,NA,LC,
01/05/23,MYOCAU,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis caucensis,Myotis caucensis,Cauca River Myotis,Herbivore,NA,NA,Not listed in IUCN. GBIF range in ecuador
01/05/23,MYONIG,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis nigricans,Myotis nigricans,Black myotis,Herbivore,NA,LC,
01/05/23,MYORIP,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis riparius,Myotis riparius,Riparian Myotis,Herbivore,NA,LC,
01/05/23,MYOSIM,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis simus,Myotis simus,Velvety myotis,Herbivore,NA,DD,IUCN and GBIF show potentially in tiputini
30/04/23,CABUNI,Mammalia,Cingulata,Chlamyphoridae,Cabassous,Cabassous unicinctus,Cabassous unicinctus,Southern naked-tailed armadillo,Herbivore,Terrestrial,LC,
30/04/23,DASKAP,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus kappleri,Dasypus kappleri,Greater long-nosed armadillo,UNK,Terrestrial,LC,
30/04/23,PRIMAX,Mammalia,Cingulata,Chlamyphoridae,Priodontes,Priodontes maximus,Priodontes maximus,Giant armadillo,Herbivore,Terrestrial,VU,
30/04/23,DASNOV,Mammalia,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,Dasypus novemcinctus,Nine-banded armadillo,Herbivore,Terrestrial,LC,
30/04/23,CYCDID,Mammalia,Cyclopedidae,Cyclopedidae,Cyclopes,Cyclopes didactylus,Cyclopes didactylus,Silky anteater,Carnivore,Arboreal,LC,
30/04/23,CALLAN,Mammalia,Didelphimorpha,Didelphidae,Caluromys,Caluromys lanatus,Caluromys lanatus,Brown-eared woolly opossum,Omnivore,Mixed,LC,
30/04/23,CHIMIN,Mammalia,Didelphimorpha,Didelphidae,Chironectes,Chironectes minimus,Chironectes minimus,Water opossum,Carnivore,Mixed,LC,Possibly not in study because so dependent on river
30/04/23,DIDMAR,Mammalia,Didelphimorpha,Didelphidae,Didelphis,Didelphis marsupialis,Didelphis marsupialis,Common opossum,Omnivore,Mixed,LC,START HERE
30/04/23,GILVEN,Mammalia,Didelphimorpha,Didelphidae,Glironia,Glironia venusta,Glironia venusta,Bushy-tailed opossum,Omnivore,Mixed,LC,
30/04/23,MARREG,Mammalia,Didelphimorpha,Didelphidae,Marmosa,Marmosa regina,Micoureus regina,Short-furred woolly mouse opossum,Omnivore,Mixed,LC,
30/04/23,MARRUB,Mammalia,Didelphimorpha,Didelphidae,Marmosa,Marmosa rubra,Marmosa rubra,Red mouse opossum,Omnivore,Mixed,DD,
30/04/23,MARMUR,Mammalia,Didelphimorpha,Didelphidae,Marmosa,Marmosa murina,Marmosa murina,Linnaeus's mouse opossum,Omnivore,Mixed,LC,Previously Marmosa waterhousi but this is now the subspecies classification
30/04/23,MARNOC,Mammalia,Didelphimorpha,Didelphidae,Marmosops,Marmosops noctivagus,Marmosops noctivagus,White-bellied slender mouse opossum,Omnivore,Mixed,LC,
30/04/23,MONADU,Mammalia,Didelphimorpha,Didelphidae,Monodelphis,Monodelphis adusta,Monodelphis adusta,Sepia short-tailed opossum,Omnivore,Mixed,LC,
30/04/23,PHIAND,Mammalia,Didelphimorpha,Didelphidae,Philander,Philander andersoni,Philander andersoni,Anderson's four-eyed opossum,Omnivore,Mixed,LC,
30/04/23,TAPTER,Mammalia,Perissodactyla,Tapiridae,Tapirus,Tapirus terrestris,Tapirus terrestris,Lowland tapir,Herbivore,Terrestrial,VU,
30/04/23,BRAVAR,Mammalia,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Bradypus variegatus,Brown-throated sloth,Herbivore,Arboreal,LC,
30/04/23,CHODID,Mammalia,Pilosa,Megalonychidae,Choloepus,Choloepus didactylus,Choloepus didactylus,Linné's two-toed sloth,Herbivore,Arboreal,LC,
30/04/23,MYRTRI,Mammalia,Pilosa,Myrmecophagidae,Myrmecophaga,Myrmecophaga tridactyla,Myrmecophaga tridactyla,Giant ant eater,Omnivore,Terrestrial,VU,https://www.iucnredlist.org/species/14224/47441961
30/04/23,TAMTET,Mammalia,Pilosa,Myrmecophagidae,Tamandua,Tamandua tetradactyla,Tamandua tetradactyla,Tamandua,Omnivore,Mixed,LC,
30/04/23,LEOTRI,Mammalia,Primata,Callitrichidae,Leontocebus,Leontocebus tripartitus,Saguinus tripartitus,Golden-mantled saddle-back tamarin,Herbivore,Arboreal,NT,"Galán‐Acedo, C., Arroyo‐Rodríguez, V., Andresen, E., & Arasa‐Gisbert, R. (2019). Ecological traits of the world’s primates. Scientific Data, 6(1). https://doi.org/10.1038/s41597-019-0059-9"
30/04/23,AOTVOC,Mammalia,Primata,Aotidae,Aotus,Aotus vociferans,Aotus vociferans,Spix's night monkey,Herbivore,Arboreal,LC,
30/04/23,ALOSEN,Mammalia,Primata,Atelidae,Alouatta,Alouatta seniculus,Alouatta seniculus,Columbian red howler monkey,Herbivore,Arboreal,LC,
30/04/23,ATEBEL,Mammalia,Primata,Atelidae,Ateles,Ateles belzebuth,Ateles belzebuth,White-bellied spider monkey,Herbivore,Arboreal,EN,Wierdly the IUCN range is missing any info in Ecuador so strange
30/04/23,LAGLAG,Mammalia,Primata,Atelidae,Lagothrix,Lagothrix lagothricha,Lagothrix lagotricha,Common woolly monkey,Herbivore,Arboreal,VU,
30/04/23,CEBNIV,Mammalia,Primata,Callitrichidae,Cebuella,Cebuella pygmaea,Callithrix pygmaea,Western pygmy marmoset,Herbivore,Arboreal,VU,
30/04/23,CEBYUR,Mammalia,Primata,Cebidae,Cebus,Cebus albifrons,Cebus albifrons,White-fronted capuchin,Herbivore,Arboreal,LC,
30/04/23,SAICAS,Mammalia,Primata,Cebidae,Saimiri,Saimiri sciureus,Saimiri sciureus,Humboldt's squirrel monkey,Herbivore,Arboreal,LC,
30/04/23,PLEDIS,Mammalia,Primata,Pitheciidae,Plecturocebus,Plecturocebus discolor,Callicebus discolor,Red titi monkey,Herbivore,Arboreal,LC,
30/04/23,PITNAP,Mammalia,Primata,Pitheciidae,Pithecia,Pithecia napensis,Pithecia monachus,Napo saki monkey,Herbivore,Arboreal,LC,"Marsh, L.K., de la Torre, S. & Moscoso, P. 2018. Pithecia napensis. The IUCN Red List of Threatened Species 2018: e.T39955A70609585. https://dx.doi.org/10.2305/IUCN.UK.2018-2.RLTS.T39955A70609585.en. Accessed on 19 May 2023."
30/04/23,EURMAC,Mammalia,Rodentia,Cricetidae,Euryoryzomys,Euryoryzomys macconnelli,Oryzomys macconnelli,MacConnell's rice rat,Herbivore,Terrestrial,LC,
30/04/23,HOLSCI,Mammalia,Rodentia,Cricetidae,Holochilus,Holochilus sciureus,Holochilus sciureus,Amazonian marsh rat,Herbivore,Terrestrial,LC,Might not be in TF because it likes marshy habitat nesting in rice and sugarcane marsh mostly
30/04/23,HYLYUN,Mammalia,Rodentia,Cricetidae,Hylaeamys,Hylaeamys yunganus,Oryzomys yunganus,Yungas rice rat,Herbivore,Terrestrial,LC,Might not be in TF because it likes marshy habitat nesting in rice and sugarcane marsh mostly
30/04/23,NEASPI,Mammalia,Rodentia,Cricetidae,Neacomys,Neacomys spinosus,Neacomys spinosus,Common neacomys,Herbivore,UNK,LC,
30/04/23,NECAPI,Mammalia,Rodentia,Cricetidae,Nectomys,Nectomys apicalis,Nectomys apicalis,Western Amazonian nectomys,Herbivore,UNK,LC,
30/04/23,OECBIC,Mammalia,Rodentia,Cricetidae,Oecomys,Oecomys bicolor,Oecomys bicolor,White-bellied arboreal mouse,Herbivore,Arboreal,LC,Probably one of our arboreal mouse genus?
30/04/23,OECCON,Mammalia,Rodentia,Cricetidae,Oecomys,Oecomys concolor,Oecomys concolor,Unicolored arboreal mouse,Herbivore,Arboreal,LC,Probably one of our arboreal mouse genus?
30/04/23,OECSUP,Mammalia,Rodentia,Cricetidae,Oecomys,Oecomys superans,Oecomys superans,Large oecomys,Herbivore,Arboreal,LC,
30/04/23,OLIFUL,Mammalia,Rodentia,Cricetidae,Oligoryzomys,Oligoryzomys fulvescens,Oligoryzomys fulvescens,Northern pygmy rice rat,Herbivore,Terrestrial,LC,
30/04/23,RHILEU,Mammalia,Rodentia,Cricetidae,Rhipidomys,Rhipidomys leucodactylus,Rhipidomys leucodactylus,White-footed climbing mouse,Herbivore,Mixed,LC,Probably one of our arboreal mouse genus?
30/04/23,COEICH,Mammalia,Rodentia,Erethizontidae,Coendou,Coendou ichillus,Sphiggurus ichillus,Streaked dwarf porcupine,Herbivore,Mixed,DD,"IUCN notes it is very uncommon, old name from Wiki"
30/04/23,COEPRE,Mammalia,Rodentia,Erethizontidae,Coendou,Coendou prehensilis,Coendou prehensilis,Brazilian porcupine,Herbivore,Mixed,LC,What are the differences in morphology between this and the streaked dwarf species? I think if its size then at Tiputini that has to be all I've seen...
30/04/23,SCISPA,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus spadiceus,Sciurus spadiceus,Southern Amazon red squirrel,Herbivore,Mixed,LC,What is the difference between squirrel spp.? Do we even have them in the cameras yet?
30/04/23,MICFLA,Mammalia,Rodentia,Sciuridae,Microsciurus,Microsciurus flaviventer,Microsciurus flaviventer,Amazon dwarf squirrel,Herbivore,Mixed,LC,
30/04/23,SCUIGN,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus igniventris,Sciurus igniventris,Northern Amazon red squirrel,Herbivore,Mixed,LC,Previously Hadrosciurus igniventris
30/04/23,CUNPAC,Mammalia,Rodentia,Cuniculidae,Cuniculus,Cuniculus paca,Cuniculus paca,Lowland paca,Herbivore,Terrestrial,LC,
30/04/23,DASFUL,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta fuliginosa,Dasyprocta fuliginosa,Black agouti,Herbivore,Terrestrial,LC,
30/04/23,ECHSAT,Mammalia,Rodentia,Echimyidae,Echimys,Echimys saturnus,Echimys saturnus,Dark spiny tree-rat,Herbivore,Arboreal,DD,
30/04/23,HYDHYD,Mammalia,Rodentia,Caviidae,Hydrochoerus,Hydrochoerus hydrochaeris,Hydrochoerus hydrochaeris,Capybara,Herbivore,Terrestrial,LC,
30/04/23,ISOBIS,Mammalia,Rodentia,Echimyidae,Isothrix,Isothrix bistriata,Isothrix bistriata,Yellow-crowned Brush-tailed rat,Herbivore,UNK,LC,
30/04/23,MAKMAC,Mammalia,Rodentia,Echimyidae,Makalata,Makalata macrura,Makalata macrura,Long-tailed armored tree-rat,Herbivore,Arboreal,LC,"Slightly outside of range on IUCN, GBIF points also outside the area"
30/04/23,MESHIS,Mammalia,Rodentia,Echimyidae,Mesomys,Mesomys hispidus,Mesomys hispidus,Ferreira's spiny tree-rat,Herbivore,Arboreal,LC,
30/04/23,MYOPRA,Mammalia,Rodentia,Dasyproctidae,Myoprocta,Myoprocta pratti,Myoprocta pratti,Green acouchi,Herbivore,Terrestrial,LC,
30/04/23,PATOCC,Mammalia,Rodentia,Echimyidae,Pattonomys,Pattonomys occasius,Makalata occasius,Bare-tailed armored tree-rat,Herbivore,Arboreal,DD,IUCN range unknown
30/04/23,PROBRE,Mammalia,Rodentia,Echimyidae,Proechimys,Proechimys brevicauda,Proechimys brevicauda,The short-tailed spiny-rat ,Herbivore,UNK,LC,
30/04/23,PROQUA,Mammalia,Rodentia,Echimyidae,Proechimys,Proechimys quadruplicatus,Proechimys quadruplicatus,Napo spiny rat,Herbivore,UNK,LC,
30/04/23,PROSIM,Mammalia,Rodentia,Echimyidae,Proechimys,Proechimys simonsi,Proechimys simonsi,Simons's spiny rat,Herbivore,UNK,LC,
08/01/23,TUPCUZ,Reptilia,Squamata,Teiidae,Tupinambis,Tupinambis cuzcoensis,Tupinambis cuzcoensis,Cuzco tegu,,,,
09/05/23,CHEDEN,Reptilia,Testudines,Testudinidae,Chelonoidis,Chelonoidis denticulata,Chelonoidis denticulata,Yellow-footed tortoise,Omnivore,0,VU,https://www.sciencedirect.com/science/article/pii/S2530064417300731
